State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
AK,"1,583",130,0.66,0.58,533,"1,058",55,93,"552,319","74,340","220,928","44,801","9,317","2,987",5.60 ,2.82 ,1.89 ,"1,493",2.80 ,1.41 ,0.94 ,974,1.83 ,0.92 ,0.62 ,621,11.29 ,6.68 ,4.78 ,311,5.65 ,3.34 ,2.39 ,203,3.69 ,2.18 ,1.56 
AL,"13,959","1,870",0.64,0.68,"4,994","9,476",606,"1,238","3,748,089","762,032","1,499,236","313,812","67,877","20,921",4.19 ,2.21 ,1.50 ,"10,460",2.09 ,1.10 ,0.75 ,"6,822",1.37 ,0.72 ,0.49 ,"4,525",7.47 ,3.66 ,2.42 ,"2,263",3.73 ,1.83 ,1.21 ,"1,476",2.44 ,1.19 ,0.79 
AR,"8,428",856,0.52,0.58,"4,069","6,248",362,609,"2,272,226","476,167","908,890","190,783","41,406","12,719",3.13 ,2.04 ,1.51 ,"6,359",1.56 ,1.02 ,0.75 ,"4,147",1.02 ,0.66 ,0.49 ,"2,760",7.62 ,4.53 ,3.22 ,"1,380",3.81 ,2.27 ,1.61 ,900,2.49 ,1.48 ,1.05 
AZ,"12,868","1,742",0.62,0.53,"4,938","8,903",814,"1,278","5,187,520","1,106,362","2,075,008","436,293","94,878","29,086",5.89 ,3.27 ,2.26 ,"14,543",2.95 ,1.63 ,1.13 ,"9,485",1.92 ,1.07 ,0.74 ,"6,325",7.77 ,4.95 ,3.63 ,"3,163",3.89 ,2.47 ,1.82 ,"2,063",2.53 ,1.61 ,1.18 
CA,"68,554","8,131",0.67,0.58,"22,831","45,692","3,381","5,756","29,868,127","5,148,448","11,947,251","2,465,619","524,225","164,375",7.20 ,3.60 ,2.40 ,"82,187",3.60 ,1.80 ,1.20 ,"53,600",2.35 ,1.17 ,0.78 ,"34,948",10.34 ,6.07 ,4.30 ,"17,474",5.17 ,3.04 ,2.15 ,"11,396",3.37 ,1.98 ,1.40 
CO,"9,620","1,264",0.58,0.6,"4,033","6,826",500,882,"4,185,186","707,396","1,674,074","344,955","73,203","22,997",5.70 ,3.37 ,2.39 ,"11,498",2.85 ,1.68 ,1.20 ,"7,499",1.86 ,1.10 ,0.78 ,"4,880",9.76 ,5.53 ,3.86 ,"2,440",4.88 ,2.77 ,1.93 ,"1,591",3.18 ,1.80 ,1.26 
CT,"6,894",731,0.76,0.61,"1,643","4,269",285,508,"2,831,746","575,757","1,132,698","237,091","51,283","15,806",9.62 ,3.70 ,2.29 ,"7,903",4.81 ,1.85 ,1.15 ,"5,154",3.14 ,1.21 ,0.75 ,"3,419",12.00 ,6.73 ,4.68 ,"1,709",6.00 ,3.36 ,2.34 ,"1,115",3.91 ,2.19 ,1.53 
DC,"2,405",401,0.72,0.6,671,"1,538",159,280,"554,333","79,769","221,733","45,160","9,444","3,011",4.49 ,1.96 ,1.25 ,"1,505",2.24 ,0.98 ,0.63 ,982,1.46 ,0.64 ,0.41 ,630,3.96 ,2.25 ,1.57 ,315,1.98 ,1.13 ,0.79 ,205,1.29 ,0.73 ,0.51 
DE,"1,864",249,0.72,0.75,516,"1,190",63,156,"739,679","160,565","295,872","62,317","13,579","4,154",8.05 ,3.49 ,2.23 ,"2,077",4.03 ,1.75 ,1.11 ,"1,355",2.63 ,1.14 ,0.73 ,905,14.37 ,5.80 ,3.63 ,453,7.19 ,2.90 ,1.82 ,295,4.68 ,1.89 ,1.18 
FL,"51,190","6,226",0.66,0.67,"17,651","34,421","2,044","4,135","16,166,865","3,926,889","6,466,746","1,377,904","304,330","91,860",5.20 ,2.67 ,1.79 ,"45,930",2.60 ,1.33 ,0.90 ,"29,954",1.70 ,0.87 ,0.59 ,"20,289",9.93 ,4.91 ,3.26 ,"10,144",4.96 ,2.45 ,1.63 ,"6,616",3.24 ,1.60 ,1.06 
